Source	Target	Target_Uniprot	f	Type	Source_idx	Target_idx
O14976_T776	O14976	O14976	1.0	SK	444	1
Q96Q15_T3573	Q96Q15	Q96Q15	1.0	SK	1398	2
Q13315	Q9Y6X4_T409	Q9Y6X4	-2.0141082555650307	KS	12	30959
Q9Y6M4_T29	Q9Y6M4	Q9Y6M4	1.0	SK	1688	14
P06493_Y19	P06493	P06493	1.0	SK	1701	19
P28482_Y187	P28482	P28482	1.0	SK	1710	22
Q16539_T180	Q16539	Q16539	1.0	SK	1205	24
P50750	Q9Y6N9_S201	Q9Y6N9	0.6085426514044503	KS	30	30892
P45984	Q9Y6N9_S201	Q9Y6N9	0.6085426514044503	KS	34	30892
P27361_Y204	P27361	P27361	1.0	SK	1706	35
Q96RR4	Q9Y6X4_T409	Q9Y6X4	-2.0141082555650307	KS	43	30959
P51956	Q9Y618_T1483	Q9Y618	1.136048473726401	KS	44	30732
Q8IW41_Y189	Q8IW41	Q8IW41	1.0	SK	1743	46
P49674	Q9Y6X4_S619	Q9Y6X4	0.9847817585126322	KS	48	30954
Q13546_S331	Q13546	Q13546	1.0	SK	1086	54
O75385_T636	O75385	O75385	1.0	SK	486	56
Q96KB5_T26	Q96KB5	Q96KB5	1.0	SK	1379	63
O43683_S655	O43683	O43683	1.0	SK	469	64
Q96GX5_S597	Q96GX5	Q96GX5	1.0	SK	1370	65
Q9BQI3_S258	Q9BQI3	Q9BQI3	1.0	SK	1431	66
Q00537_T124	Q00537	Q00537	1.0	SK	930	73
P41279	Q9Y6M7_S403	Q9Y6M7	-1.902722410086735	KS	79	30867
Q6ZN16	Q9Y6R1_T249	Q9Y6R1	0.650290187025055	KS	84	30923
Q15139_S421	Q15139	Q15139	1.0	SK	1157	88
Q9UHD2_S716	Q9UHD2	Q9UHD2	1.0	SK	1603	102
Q14164_S664	Q14164	Q14164	1.0	SK	1146	103
Q9Y4K4_S400	Q9Y4K4	Q9Y4K4	1.0	SK	1659	107
Q8IVH8	Q9Y6M5_T449	Q9Y6M5	0.7169381000867645	KS	111	30861
Q99986_T380	Q99986	Q99986	1.0	SK	1429	121
Q9Y2H1	Q9Y6M5_S172	Q9Y6M5	-0.5587674176104134	KS	126	30856
Q9HCP0_S35	Q9HCP0	Q9HCP0	1.0	SK	1502	130
Q9NRM7_T406	Q9NRM7	Q9NRM7	1.0	SK	1533	131
P37173	Q9Y6X4_S348	Q9Y6X4	1.9051920463722336	KS	134	30944
Q9UKI8_S134	Q9UKI8	Q9UKI8	1.0	SK	1618	136
Q9NZJ5_T561	Q9NZJ5	Q9NZJ5	1.0	SK	1582	138
P53350	Q9Y6X4_S636	Q9Y6X4	-1.9100869591775549	KS	140	30956
Q13627_T532	Q13627	Q13627	1.0	SK	1114	142
P49759_T138	P49759	P49759	1.0	SK	845	144
