Source	Target	Target_Uniprot	f	Type	Source_idx	Target_idx
P06493_Y19	P06493	P06493	1.0	SK	932	4
P28482_Y187	P28482	P28482	1.0	SK	940	7
Q16539_T180	Q16539	Q16539	1.0	SK	761	9
P27361_Y204	P27361	P27361	1.0	SK	937	17
P45984	Q9Y6I3_T460	Q9Y6I3	1.886124662241761	KS	21	9741
Q07002	Q9Y6R1_S245	Q9Y6R1	1.0153325505538362	KS	23	9769
Q9NSY1_S1029	Q9NSY1	Q9NSY1	1.0	SK	864	24
Q96KB5	Q9Y6M4_T29	Q9Y6M4	1.1147737008914191	KS	26	920
O14976_S780	O14976	O14976	1.0	SK	409	29
O43683_S655	O43683	O43683	1.0	SK	419	30
Q96PY6	Q9Y608_S323	Q9Y608	-2.533511024248748	KS	32	9703
Q9BQI3_S258	Q9BQI3	Q9BQI3	1.0	SK	839	33
P36507	Q9Y5U2_S143	Q9Y5U2	-0.5343639019903854	KS	35	9691
P50750	Q9Y6I3_T460	Q9Y6I3	1.886124662241761	KS	40	9741
Q14004_T1058	Q14004	Q14004	1.0	SK	730	41
Q9NYV4_S685	Q9NYV4	Q9NYV4	1.0	SK	876	43
Q14680	Q9Y6R1_T254	Q9Y6R1	0.5556487626459301	KS	47	9772
Q13546	Q9Y618_S2234	Q9Y618	4.812839019037559	KS	54	9712
Q9NRH2	Q9Y6R1_T254	Q9Y6R1	0.5556487626459301	KS	56	9772
Q9Y2H1	Q9Y6M5_S172	Q9Y6M5	-0.5587674176104134	KS	70	9749
Q13233	Q9Y608_S323	Q9Y608	-2.533511024248748	KS	73	9703
O95835	Q9Y6X4_S378	Q9Y6X4	-0.7050754088060653	KS	74	9777
Q9UKI8_S134	Q9UKI8	Q9UKI8	1.0	SK	898	82
Q9NZJ5_S715	Q9NZJ5	Q9NZJ5	1.0	SK	880	85
P53350	Q9Y6X4_S636	Q9Y6X4	-1.9100869591775549	KS	87	9779
Q13627	Q9Y5K6_S189	Q9Y5K6	0.5522308693630986	KS	89	9671
P49759_T138	P49759	P49759	1.0	SK	583	91
Q15208	Q9Y6M5_S172	Q9Y6M5	-0.5587674176104134	KS	97	9749
P49760	Q9Y5K6_T393	Q9Y5K6	1.021886473990218	KS	98	9681
Q96Q15_T3573	Q96Q15	Q96Q15	1.0	SK	829	105
Q8TD19_T886	Q8TD19	Q8TD19	1.0	SK	807	107
O75385	Q9Y519_S386	Q9Y519	-5.614889799028472	KS	110	9651
