name	index	f
O15111	0	0
Q15835	1	0
Q14164	2	0
Q9UHD2	3	0
Q96RG2	4	0
O14920	5	0
Q9Y2H1	6	0
P32298	7	0
Q6IQ55	8	0
Q13233	9	0
Q99683	10	0
O95835	11	0
Q9HCP0	12	0
Q9NRM7	13	0
Q9UK32	14	0
P36507	15	0
Q8TF76	16	0
Q13523	17	0
P49841	18	0
Q9NYV4	19	0
P50750	20	0
Q2M2I8	21	0
Q9NQU5	22	0
Q00535	23	0
Q14004	24	0
Q86Y07	25	0
Q96SB4	26	0
Q9NSY1	27	0
O96013	28	0
Q9BXM7	29	0
Q9Y463	30	0
Q9NR20	31	0
Q92630	32	0
Q9H422	33	0
O43781	34	0
Q86Z02	35	0
P49759	36	0
Q13627	37	0
Q9H093	38	0
Q9HAZ1	39	0
Q9UQ07	40	0
Q9H2X6	41	0
Q8TDC3	42	0
Q9H0K1	43	0
Q52WX2	44	0
Q00534	45	0
P11802	46	0
Q9UBE8	47	0
Q15131	48	0
Q9UPE1	49	0
Q00526	50	0
P78362	51	0
P06493	52	0
P24941	53	0
P53779	54	0
Q96PF2	55	0
P27448	56	0
Q96L34	57	0
Q9P0L2	58	0
Q7KZI7	59	0
Q9BXA6	60	0
Q9BXA7	61	0
Q9Y2K2	62	0
P57059	63	0
O14757	64	0
Q13131	65	0
Q96QP1	66	0
Q8IWQ3	67	0
P53350	68	0
P45983	69	0
Q02750	70	0
Q96Q15	71	0
Q9H4B4	72	0
P36896	73	0
Q13315	74	0
P27037	75	0
P68400	76	0
P19784	77	0
O75716	78	0
Q9P289	79	0
P49336	80	0
O15264	81	0
P42345	82	0
Q16654	83	0
Q9Y6M4	84	0
P78368	85	0
P48729	86	0
Q9BX84	87	0
Q6XUX3	88	0
Q86UE8	89	0
Q5TCY1	90	0
P34947	91	0
Q9Y572	92	0
Q76MJ5	93	0
Q16513	94	0
Q99986	95	0
Q9BUB5	96	0
Q04759	97	0
Q9NRH2	98	0
P24723	99	0
Q02156	100	0
Q13976	101	0
Q09013	102	0
Q05655	103	0
P57058	104	0
P54646	105	0
P36897	106	0
O00238	107	0
Q9HC98	108	0
P53778	109	0
P49840	110	0
Q04771	111	0
Q13873	112	0
P35626	113	0
P25098	114	0
P37173	115	0
P36894	116	0
Q8TAS1	117	0
Q15118	118	0
O14874	119	0
P51957	120	0
Q8TD19	121	0
Q9Y4K4	122	0
Q96S44	123	0
P51956	124	0
Q8IVH8	125	0
Q6P3R8	126	0
Q6ZN16	127	0
Q96KB5	128	0
Q9UQB9	129	0
O43683	130	0
Q15831	131	0
Q86V86	132	0
Q15139	133	0
Q9H1R3	134	0
O14976	135	0
Q96GD4	136	0
O14965	137	0
P51817	138	0
P22694	139	0
P45984	140	0
P48730	141	0
P27361	142	0
P28482	143	0
Q15759	144	0
Q13164	145	0
Q16539	146	0
P49674	147	0
Q9BWU1	148	0
Q9BZL6	149	0
O00311	150	0
P49137	151	0
O14578	152	0
P23443	153	0
Q9P1W9	154	0
Q9UBS0	155	0
Q16644	156	0
P11309	157	0
O94806	158	0
Q14012	159	0
Q86YV6	160	0
Q6P2M8	161	0
Q15746	162	0
P49760	163	0
Q8NE63	164	0
Q00537	165	0
Q9UPZ9	166	0
Q15418	167	0
Q15349	168	0
P51812	169	0
O75582	170	0
O75676	171	0
Q32MK0	172	0
Q16566	173	0
Q9UIK4	174	0
O96017	175	0
Q16512	176	0
Q9Y243	177	0
Q96GX5	178	0
Q9Y2U5	179	0
Q9NY57	180	0
Q8IY84	181	0
Q99759	182	0
Q13163	183	0
O00506	184	0
Q15208	185	0
Q8IYT8	186	0
O15075	187	0
Q5VT25	188	0
O75116	189	0
O43293	190	0
P53355	191	0
Q8IU85	192	0
P22612	193	0
O94921	194	0
P50613	195	0
P20794	196	0
Q8TD08	197	0
O76039	198	0
Q13535	199	0
P78527	200	0
P80192	201	0
Q9UEE5	202	0
P51955	203	0
Q16584	204	0
Q5TCX8	205	0
O00418	206	0
Q13188	207	0
P05129	208	0
Q12851	209	0
Q8N4C8	210	0
Q13557	211	0
O43318	212	0
O95819	213	0
Q92918	214	0
Q13043	215	0
Q9UKE5	216	0
Q56UN5	217	0
Q9UEW8	218	0
Q8NEV4	219	0
Q9H2G2	220	0
Q07002	221	0
Q00536	222	0
Q5S007	223	0
Q8WTQ7	224	0
Q9NYY3	225	0
P43250	226	0
Q13705	227	0
P51617	228	0
O43353	229	0
Q9BYP7	230	0
Q9BYT3	231	0
Q8N752	232	0
Q9P286	233	0
P04049	234	0
O00444	235	0
Q96J92	236	0
Q9NWZ3	237	0
Q13177	238	0
P49761	239	0
Q9BQI3	240	0
Q8IXL6	241	0
Q13546	242	0
Q96NX5	243	0
Q9H4A3	244	0
Q14680	245	0
Q13464	246	0
O75914	247	0
Q8N568	248	0
Q8IW41	249	0
Q86UX6	250	0
Q13153	251	0
Q9HBH9	252	0
Q13237	253	0
Q9Y5S2	254	0
P17252	255	0
O00141	256	0
Q96BR1	257	0
P15735	258	0
O15530	259	0
P41743	260	0
Q96RR4	261	0
Q9UKI8	262	0
P31749	263	0
P15056	264	0
P33981	265	0
O75460	266	0
O60285	267	0
P41279	268	0
O95382	269	0
Q05513	270	0
Q99558	271	0
P05771	272	0
Q86SG6	273	0
P57078	274	0
O94804	275	0
Q8WXR4	276	0
Q96PY6	277	0
Q16816	278	0
P17612	279	0
Q7L7X3	280	0
P19525	281	0
Q8TDX7	282	0
Q02779	283	0
Q9UL54	284	0
Q8N5S9	285	0
Q9P2K8	286	0
O95747	287	0
Q12852	288	0
Q9NYL2	289	0
Q13555	290	0
Q9UQM7	291	0
P00540	292	0
Q9Y6E0	293	0
Q9H2K8	294	0
Q8NG66	295	0
Q96QT4	296	0
Q13554	297	0
O75385	298	0
Q6P5Z2	299	0
Q9NZJ5	300	0
Q00532	301	0
P31751	302	0
O75385_S623	303	-1.42436229889319
O95835_S278	304	-1.21642042336779
P23443_S441	305	-1.2042321227328
P23443_T444	306	-2.15587209521343
P41743_T564	307	-1.11001569019948
P48730_T347	308	-2.1942305350958
P51957_S639	309	1.48053435658359
P57059_S575	310	1.36817473157154
Q13131_S356	311	-2.87557111854011
Q13873_S863	312	-1.01922338015921
Q2M2I8_T620	313	-2.29588005734827
Q7KZI7_S40	314	-1.10162860183017
Q7KZI7_S409	315	-1.50723895773265
Q7KZI7_T596	316	-1.30540885059734
Q8TD19_S868	317	-2.19148349420073
Q96GX5_S453	318	-1.14904958292613
Q96KB5_S59	319	3.19405415099821
Q96KB5_T24	320	1.13337958319919
Q96SB4_S311	321	-2.32902397827568
Q9NYV4_S332	322	-2.82940161620269
A0FGR8_S755	323	1.44976672754176
A1L020_S428	324	2.15824397897266
A1L170_S223	325	-1.16303281716358
A6NKT7_S1276	326	-1.8850020135265
A7KAX9_S706	327	-1.09501073957949
A7KAX9_S871	328	-2.61907090816037
O00148_T171	329	-2.01879570125728
O00151_S130	330	-1.37137939561593
O00192_S267	331	-1.56429937973447
O14828_S32	332	1.00905557834215
O15151_S342	333	1.60218668180069
O15173_S90	334	-3.65375398069327
O15551_S209	335	2.54602027606214
O15551_T204	336	1.50372257588276
O43149_S1518	337	-1.27583743860368
O43150_S822	338	-3.21713844787363
O43166_S1149	339	2.5962812829019
O43166_S1443	340	1.75282545398312
O43166_S1568	341	1.43387177107635
O43166_S1632	342	1.06902015044078
O43166_S208	343	1.83156083904483
O43166_S210	344	1.29095806333939
O43166_S288	345	1.34686618778383
O43314_S1006	346	2.33003959436136
O43426_S1049	347	-2.0956649511179
O43502_S20	348	2.04027925615199
O43719_S481	349	-1.21630987390334
O60271_S183	350	1.00139813100306
O60271_S733	351	-1.86932126786036
O60307_S1215	352	2.35267558756179
O60341_S166	353	-1.17473597462916
O60437_S1657	354	-1.24979650726579
O60504_S530	355	1.18176675316086
O60658_S457	356	-1.32402345902197
O60749_S185	357	3.03206794084649
O60749_S277	358	1.08042064202834
O75122_S596	359	1.08340676915559
O75151_S655	360	-1.05672096690458
O75152_T321	361	-1.42668206632125
O75179_S1940	362	-2.65211408469033
O75190_S277	363	-3.57824704356591
O75369_S1988	364	1.11723516978991
O75369_S2478	365	-1.03790588350802
O75494_S131	366	1.01636304691483
O75665_S735	367	1.63647586911555
O75717_S374	368	-2.65661160467745
O75815_S290	369	5.1093072179995
O76094_S625	370	1.58138920918718
O94876_S414	371	1.91262380884662
O94885_S721	372	-2.15210157158964
O94885_S90	373	-4.27121754540922
O95071_S2026	374	-2.05925365818606
O95239_S801	375	-2.57537235697009
O95239_T799	376	-1.45097390722056
O95251_T128	377	1.46230602173737
P00558_S203	378	1.00305965211351
P02545_S22	379	-1.7765620509875
P02545_S301	380	-2.68033866463383
P04406_S83	381	1.10268686009008
P04920_S243	382	1.75166441483107
P05114_S21	383	1.3513617737011001
P05204_S25	384	1.57620232358253
P05204_S29	385	2.08100884890187
P05412_S63	386	-1.01044206021341
P07199_S156	387	1.05335114313159
P09234_S17	388	1.09112894290728
P10636_S531	389	1.13324694869777
P11586_S490	390	1.07074823736332
P12268_S416	391	1.1758999793977
P12270_S2155	392	1.41191693375703
P13646_S427	393	-1.28582384450696
P14618_S37	394	-1.16998439706093
P14618_S77	395	-1.69145579937541
P14859_T270	396	1.18311279206298
P15408_S200	397	-1.79727078929726
P15822_S571	398	-2.0663362582982
P15923_S139	399	1.32072530655504
P17535_S90	400	-1.230440885372
P18846_S198	401	1.80767621022241
P19174_S1263	402	-1.14358093571984
P20290_S30	403	-1.40750424523634
P21333_S1630	404	1.20139240507383
P21333_S2128	405	1.15949367991193
P21333_S2180	406	2.65517763131072
P21333_S2526	407	2.80317161436705
P21860_S982	408	1.11197426834
P22087_S124	409	-1.74386337324069
P22626_S259	410	-1.89131576643918
P23246_S33	411	-1.49515509874232
P23771_S110	412	2.87099053598493
P25490_T348	413	1.0466303846004
P26641_T46	414	-1.32571217073639
P27816_S358	415	-1.29026004454995
P27816_S825	416	-1.27246321548557
P28749_S988	417	-2.75745257752113
P29401_S104	418	2.0481877189393
P29590_S403	419	1.87020360228563
P29590_S518	420	1.75633938997631
P29590_S527	421	3.50463184407902
P29590_S530	422	-2.84475171091808
P29803_S291	423	3.86412075359496
P29803_S293	424	2.69564519878656
P29966_S159	425	-3.18702571802697
P30291_S139	426	-1.25960076150088
P30622_S147	427	-1.39818836741936
P30622_S204	428	-1.8883292913563
P30622_T286	429	-1.09576204000664
P31943_S310	430	1.08386743132425
P34932_S76	431	2.86752466195077
P35658_S678	432	-1.56102984482367
P36578_S295	433	-1.13611106866143
P39880_S1237	434	-1.62100429171787
P40763_S727	435	-1.11177953815312
P41208_S20	436	1.06708315242282
P42224_S727	437	1.12532146986688
P42858_S417	438	-1.06465433089563
P45985_S257	439	-1.6354021075556
P46013_S1131	440	-3.35282212154621
P46013_S1861	441	-2.30321734328716
P46013_S1937	442	1.01233387696888
P46013_S2344	443	-2.16968102258696
P46013_S2588	444	1.61258704613209
P46087_S732	445	-1.56995776361254
P46776_S68	446	-1.53534533818464
P46937_S109	447	-2.4533118332166
P47736_S499	448	1.49379301748492
P49006_S22	449	-1.63070958702387
P49454_S1750	450	1.40771668541742
P49736_S108	451	1.81415003830378
P49790_S614	452	-1.01974260632176
P49815_S1798	453	1.09630141266986
P50548_S327	454	2.47120949046292
P50851_S1767	455	1.28171447747707
P51003_S24	456	-1.90591486028764
P51116_S453	457	-1.49397545895112
P52732_T926	458	-1.26138862982173
P55011_S77	459	1.5805485123376
P55327_S171	460	-1.06519554079157
P60866_T9	461	-1.70748721376593
P62899_S98	462	-1.94724773520045
P85037_S257	463	-1.6180353968785
P85037_S445	464	-1.15892069554602
Q00059_S193	465	-2.2680265518082
Q00653_S222	466	-1.791709072907
Q01167_S398	467	-1.04551991351551
Q04726_T328	468	-2.5750142817808
Q06265_S392	469	1.07638068702234
Q07666_S20	470	1.72583430363764
Q07866_S521	471	-1.03976901239915
Q08J23_T453	472	-1.57806485431423
Q09666_S135	473	-1.86096810456615
Q09666_S210	474	3.14032001451446
Q09666_S5782	475	1.00973539256946
Q09666_S93	476	-1.07243555123014
Q0JRZ9_S387	477	1.27199143634892
Q10570_S756	478	-1.4249471258624
Q12756_S1368	479	-1.01909414684926
Q12756_S1370	480	-1.22772963801275
Q12857_S280	481	-2.47768356501864
Q12888_S1678	482	-1.24441865185766
Q12888_S380	483	1.66380453146681
Q12888_S831	484	-1.16654797594618
Q12906_T592	485	1.77182705598055
Q12923_S345	486	1.89348362172554
Q12955_S1459	487	-1.69792951349451
Q13045_S856	488	-3.2196308535903
Q13129_S632	489	-1.48688704833188
Q13247_S119	490	1.16052949428528
Q13263_S501	491	1.40585903291099
Q13263_S601	492	-1.50000262770499
Q13415_S273	493	-1.7114753191225
Q13428_S1228	494	-4.72600869548738
Q13435_S309	495	1.08907857543629
Q13442_S176	496	-1.53689899266589
Q13469_S236	497	1.14978771940644
Q13480_S454	498	-1.41484889474024
