Source	Target	Target_Uniprot	f	Type	Source_idx	Target_idx
Q00526	O75385_S623	O75385	-1.42436229889319	KS	125	313
Q9NSY1	O95835_S278	O95835	-1.21642042336779	KS	49	319
Q15131	P23443_S441	P23443	-1.2042321227328	KS	123	329
P45984	P23443_T444	P23443	-2.15587209521343	KS	69	331
Q15759	P48730_T347	P48730	-2.1942305350958	KS	71	337
Q9UIK4	P57059_S575	P57059	1.36817473157154	KS	240	343
Q9BXM7	Q13131_S356	Q13131	-2.87557111854011	KS	51	353
Q13523	Q2M2I8_T620	Q2M2I8	-2.29588005734827	KS	39	369
Q9HBH9	Q7KZI7_S40	Q7KZI7	-1.10162860183017	KS	296	371
P53355	Q7KZI7_S409	Q7KZI7	-1.50723895773265	KS	260	372
P36507	Q7KZI7_T596	Q7KZI7	-1.30540885059734	KS	37	375
P24941	Q96GX5_S453	Q96GX5	-1.14904958292613	KS	128	387
Q86Y07	Q96KB5_S59	Q96KB5	3.19405415099821	KS	47	388
P25098	Q96SB4_S311	Q96SB4	-2.32902397827568	KS	199	393
Q9HBH9	Q9NYV4_S332	Q9NYV4	-2.82940161620269	KS	296	397
O15111	A0FGR8_S755	A0FGR8	1.44976672754176	KS	15	402
P36507	A1L020_S428	A1L020	2.15824397897266	KS	37	405
Q9Y463	A1L170_S223	A1L170	-1.16303281716358	KS	52	406
Q00534	A6NKT7_S1276	A6NKT7	-1.8850020135265	KS	121	414
Q96PF2	A7KAX9_S706	A7KAX9	-1.09501073957949	KS	95	415
P53350	A7KAX9_S871	A7KAX9	-2.61907090816037	KS	36	416
Q14004	O00148_T171	O00148	-2.01879570125728	KS	46	418
Q13523	O15173_S90	O15173	-3.65375398069327	KS	39	457
P45983	O43149_S1518	O43149	-1.27583743860368	KS	68	466
Q9BZL6	O43150_S822	O43150	-3.21713844787363	KS	85	467
Q9Y2K2	O43166_S1149	O43166	2.5962812829019	KS	133	468
P49841	O43166_S1443	O43166	1.75282545398312	KS	40	470
P28482	O43166_S1568	O43166	1.43387177107635	KS	70	472
P34947	O43166_S210	O43166	1.29095806333939	KS	86	478
