uniprotID	gene	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	down_regulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs	dominant_direction
A0A024QZA8	EPHA2	13	1200	3	305	25	3915	1.6963011092604054	0.7623922844522101	0.08972850933427488	0.46359729822708695	1.047069547152355	0.3338591037017259	1.5401201931663364	0.623042945282887	0.33162535732361975	1	0.4793522690605976	0	1.6963011092604054	0.7623922844522101	0.08972850933427488	0.28775004717543323	1.047069547152355	0.540984596497376	upregulated set
A0A024R273	SYK	21	1200	4	305	57	3915	1.201957341643576	0.2653856946419805	0.275538898397046	0.9855814442663569	0.5598170822325207	0.006307481649403536	0.9007932114482335	-0.15073213985695538	0.6519559896640309	1	0.18578172035883264	0	1.201957341643576	0.2653856946419805	0.275538898397046	0.640627938773132	0.5598170822325207	0.19339412500654796	upregulated set
A0A024R452	EPHA4	15	1200	2	305	50	3915	0.9787479619010886	-0.03099069668113359	0.5772837437070168	0.9974350724367091	0.23861067204881883	0.001115364914595731	0.5135287490943036	-0.9614830490843572	0.897423518694732	1	0.04700255313868856	0	0.9787479619010886	-0.03099069668113359	0.5772837437070168	0.891772971107931	0.23861067204881883	0.04974569488904417	upregulated set
A0A024R759	MET	8	1200	2	305	32	3915	0.8156588141335763	-0.2939622883905886	0.7530786677136786	0.9974350724367091	0.12315965438438367	0.001115364914595731	0.8022799153860033	-0.3178224142140325	0.7156977999794925	1	0.14527031778429028	0	0.8156588141335763	-0.2939622883905886	0.7530786677136786	0.9640605968169302	0.12315965438438367	0.01589566730452151	upregulated set
A0A024R7E4	TYK2	10	1200	2	305	52	3915	0.6274701739400974	-0.6723812110134072	0.9393017392489991	0.9974350724367091	0.027194873505492323	0.001115364914595731	0.49378041219352775	-1.0180584876325902	0.9089023952833895	1	0.04148275205392239	0	0.6274701739400974	-0.6723812110134072	0.9393017392489991	0.9964827331175554	0.027194873505492323	0.0015302222788321856	upregulated set
A0A024R7M7	JAK3	17	1200	6	305	42	3915	1.3204594425468303	0.4010399903083848	0.20642779771661968	0.8765946963974846	0.6852318206976256	0.05720116125709323	1.8333360202904503	0.8744712323471594	0.13324136490107372	0.6459495356697663	0.8753609271218955	0.1898014096151816	0.5454537460304592	-0.8744712323471594	0.13324136490107372	0.36445432164117225	0.8753609271218955	0.43835689561021546	downregulated set
A0A024R8E2	ABL1	7	1200	2	305	39	3915	0.5856481395168275	-0.7718939487316924	0.9380780982629147	0.9974350724367091	0.027761003590327897	0.001115364914595731	0.6582878509087136	-0.6032095226747703	0.8064079080074105	1	0.09344522198592407	0	1.51909229164655	0.6032095226747703	0.8064079080074105	0.9640605968169302	0.09344522198592407	0.01589566730452151	downregulated set
A0A024R8K3	MAP2K6	51	1200	14	305	105	3915	1.5844884164981023	0.6640171128461618	0.006200700115751809	0.14416627769122956	2.207559271914378	0.8411363146884051	1.7112077776101826	0.7750149448234845	0.052214064424023605	0.37353138395647656	1.2822124993151893	0.42767290306809097	0.5843825706522721	-0.7750149448234845	0.052214064424023605	0.22072309051973615	1.2822124993151893	0.6561522315834605	downregulated set
A0A024R906	DDR2	13	1200	4	305	54	3915	0.785456104227977	-0.3483974431516612	0.82150778087135	0.9974350724367091	0.08538831881018698	0.001115364914595731	0.9508294861755416	-0.07274145149382087	0.6123944845269227	1	0.21296872938838995	0	1.0517132824963535	0.07274145149382087	0.6123944845269227	0.891772971107931	0.21296872938838995	0.04974569488904417	downregulated set
A0A024RD88	KDR	6	1200	2	305	35	3915	0.5593595322323754	-0.8381522113977309	0.941951896893694	0.9974350724367091	0.02597127496407078	0.001115364914595731	0.7335174101865775	-0.44709688591882896	0.7583155626962699	1	0.12015003101889879	0	1.36329415786551	0.44709688591882896	0.7583155626962699	0.9640605968169302	0.12015003101889879	0.01589566730452151	downregulated set
