uniprotID	protein	gene	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	down_regulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs	dominant_direction
O00141	SGK1	SGK1	9	7984	67	62127	56	50409	1.0147110881936796	0.0210690171024947	0.5382640077946143	0.9266704225100462	0.2690046592680697	0.03307469857991452	0.9707558510257415	-0.04281959718793104	0.6015182378964945	0.7868807545475557	0.22075120041435722	0.10409107649200383	1.0147110881936796	0.0210690171024947	0.5382640077946143	0.658154441692208	0.2690046592680697	0.1816721834309795	upregulated set
O00238	BMPR1B	BMPR1B	21	7984	281	62127	235	50409	0.5642132160395099	-0.8256876351117837	0.9974373565502561	0.9999912556383899	0.0011143703869306279	3.797644599061587e-6	0.9702005457854768	-0.04364510376755751	0.6506042458619165	0.7868807545475557	0.1866831068267069	0.10409107649200383	1.0307147366015936	0.04364510376755751	0.6506042458619165	0.7026973641836003	0.1866831068267069	0.1532316754974541	downregulated set
O00311	CDC7	CDC7	36	7984	277	62127	222	50409	1.0238541191595814	0.0340101718244179	0.4753169446733627	0.883189564879792	0.3230167031742786	0.053946070889669226	1.0124060643913406	0.01778805444301	0.46418349726193503	0.7868807545475557	0.33331030372387216	0.10409107649200383	1.0238541191595814	0.0340101718244179	0.4753169446733627	0.6525079585912219	0.3230167031742786	0.1854141868997615	upregulated set
O00418	EEF2K	EEF2K	23	7984	159	62127	136	50409	1.0677838097510997	0.09461957944857233	0.42002334529401975	0.8484471574939199	0.3767265704339905	0.07137520098736672	0.9485766389832367	-0.07616375592178647	0.6953923128444353	0.7869458612508194	0.15777011449787937	0.10405514434840599	1.0677838097510997	0.09461957944857233	0.42002334529401975	0.6525079585912219	0.3767265704339905	0.1854141868997615	upregulated set
O00444	PLK4	PLK4	37	7984	204	62127	163	50409	1.433168804777486	0.5192085464266915	0.03390993946971944	0.2776949097114862	1.4696729854501738	0.5564320810148637	1.0154783073683349	0.022159421134415016	0.46352056699635774	0.7868807545475557	0.333930990894113	0.10409107649200383	1.433168804777486	0.5192085464266915	0.03390993946971944	0.2776949097114862	1.4696729854501738	0.5564320810148637	upregulated set
O00506	YSK1	STK25	11	7984	86	62127	72	50409	0.9645985899797277	-0.05199939367283406	0.5926062315726439	0.9920424760580725	0.22723378599234387	0.0034697323592233383	0.9691448567268324	-0.045215775519056506	0.6096766987085223	0.7868807545475557	0.21490040300282812	0.10409107649200383	1.031837493702827	0.045215775519056506	0.6096766987085223	0.6907332890920993	0.21490040300282812	0.1606896131691462	downregulated set
O14578	CRIK	CIT	16	7984	108	62127	78	50409	1.2951208278465707	0.37308669992213017	0.209613623693929	0.7026973202559392	0.6785804940985373	0.15323170264646924	1.123429992290707	0.16791022427580082	0.23946952610621133	0.7868807545475557	0.6207497452388611	0.10409107649200383	1.2951208278465707	0.37308669992213017	0.209613623693929	0.6525079585912219	0.6785804940985373	0.1854141868997615	upregulated set
O14757	CHK1	CHEK1	30	7984	217	62127	179	50409	1.0581837042082474	0.08159010584884499	0.4173717809470991	0.8484471574939199	0.37947691749684936	0.07137520098736672	0.9836328027157984	-0.023808247380875197	0.585257523820708	0.7868807545475557	0.23265299449111923	0.10409107649200383	1.0581837042082474	0.08159010584884499	0.4173717809470991	0.6525079585912219	0.37947691749684936	0.1854141868997615	upregulated set
O14874	BCKDK	BCKDK	30	7984	239	62127	182	50409	1.0407351769440636	0.05760301050639686	0.4498919321110729	0.8767550354881424	0.3468917949452545	0.057121731145423155	1.065517723762359	0.09155459102901167	0.27640583305089744	0.7868807545475557	0.5584527961926031	0.10409107649200383	0.938510901976351	-0.09155459102901167	0.27640583305089744	0.6525079585912219	0.5584527961926031	0.1854141868997615	downregulated set
O14920	IKKB	IKBKB	30	7984	235	62127	183	50409	1.0350464613829753	0.04969552917616503	0.4607436281810344	0.8821328774688284	0.33654066210986755	0.05446599127982407	1.0419510202505522	0.0592874613952541	0.35747409378778633	0.7868807545475557	0.4467554261221449	0.10409107649200383	0.9597380112546322	-0.0592874613952541	0.35747409378778633	0.6525079585912219	0.4467554261221449	0.1854141868997615	downregulated set
O14965	AURA	AURKA	42	7984	225	62127	183	50409	1.4490429401799543	0.5351003475979307	0.02212112556929375	0.20594077529907162	1.6551927789904517	0.6862576566157195	0.997606120549271	-0.003457778417660843	0.5301301716095287	0.7868807545475557	0.27561747781348733	0.10409107649200383	1.4490429401799543	0.5351003475979307	0.02212112556929375	0.20594077529907162	1.6551927789904517	0.6862576566157195	upregulated set
O14976	GAK	GAK	40	7984	269	62127	211	50409	1.196904499383526	0.2593080447105846	0.1705707438330829	0.6358062813008506	0.7680954566470152	0.1966751858883369	1.0344260901857836	0.04883056822190653	0.3745668186122435	0.7868807545475557	0.426470697681203	0.10409107649200383	1.196904499383526	0.2593080447105846	0.1705707438330829	0.6358062813008506	0.7680954566470152	0.1966751858883369	upregulated set
O15075	DCAMKL1	DCLK1	18	7984	111	62127	91	50409	1.2488650132641808	0.32061754802776815	0.2299172855898991	0.719159737288492	0.638428376472755	0.14317463490511864	0.9897117897028719	-0.014919630404456792	0.5581210211128029	0.7868807545475557	0.2532716198747259	0.10409107649200383	1.2488650132641808	0.32061754802776815	0.2299172855898991	0.6525079585912219	0.638428376472755	0.1854141868997615	upregulated set
O15111	IKKA	CHUK	33	7984	276	62127	220	50409	0.9470568300316877	-0.07847709480626651	0.6418354974244036	0.9999912556383899	0.19257626743804726	3.797644599061587e-6	1.017922299253805	0.025627440824719058	0.4406561368111473	0.7868807545475557	0.3559001772843801	0.10409107649200383	0.9823932541148346	-0.025627440824719058	0.4406561368111473	0.6525079585912219	0.3559001772843801	0.1854141868997615	downregulated set
O15264	P38D	MAPK13	52	7984	412	62127	330	50409	0.9948943493243382	-0.007384765008569124	0.5363141747969167	0.9266704225100462	0.2705807244713339	0.03307469857991452	1.0130042029024369	0.018640159819134437	0.4459024358945593	0.7868807545475557	0.3507601551617719	0.10409107649200383	0.9871627354899639	-0.018640159819134437	0.4459024358945593	0.6525079585912219	0.3507601551617719	0.1854141868997615	downregulated set
O15530	PDK1	PDPK1	21	7984	143	62127	118	50409	1.123599506072441	0.16812789537705894	0.3468717215894295	0.7790601486756866	0.4598311041886678	0.10842901058223345	0.9832869424626391	-0.02431561010214459	0.5791249825392147	0.7868807545475557	0.23722769988289205	0.10409107649200383	1.123599506072441	0.16812789537705894	0.3468717215894295	0.6525079585912219	0.4598311041886678	0.1854141868997615	upregulated set
O43293	DAPK3	DAPK3	31	7984	133	62127	111	50409	1.7632760238348704	0.8182583323140786	0.005302891279515824	0.10711840384621965	2.275487276745357	0.9701359072987331	0.9721926271228075	-0.040685901774749844	0.612353447780895	0.7868807545475557	0.21299783257263163	0.10409107649200383	1.7632760238348704	0.8182583323140786	0.005302891279515824	0.10711840384621965	2.275487276745357	0.9701359072987331	upregulated set
O43318	TAK1	MAP3K7	19	7984	167	62127	133	50409	0.9019447163713491	-0.14888908697340794	0.6977077541468351	0.9999912556383899	0.15632645035542836	3.797644599061587e-6	1.0188097892843506	0.026884726998141182	0.46018143302157855	0.7868807545475557	0.3370709078293527	0.10409107649200383	0.981537486700473	-0.026884726998141182	0.46018143302157855	0.6525079585912219	0.3370709078293527	0.1854141868997615	downregulated set
O43353	RIPK2	RIPK2	31	7984	232	62127	182	50409	1.0754394498451034	0.10492629940781602	0.38369658608430113	0.8298800691955392	0.4160120648917163	0.0809846655154687	1.0342992763272685	0.048653692423904146	0.386365564124953	0.7868807545475557	0.41300158820105476	0.10409107649200383	1.0754394498451034	0.10492629940781602	0.38369658608430113	0.6525079585912219	0.4160120648917163	0.1854141868997615	upregulated set
O43683	BUB1	BUB1	40	7984	296	62127	256	50409	0.9865235741046491	-0.019574568685096393	0.5574265617529526	0.9435768056488526	0.25381234070363945	0.02522274318122763	0.9381848152958147	-0.09205594416507362	0.7851042751412114	0.8014852072813593	0.10507265776313857	0.09610448884990375	0.9865235741046491	-0.019574568685096393	0.5574265617529526	0.6645437627858339	0.25381234070363945	0.17747641380239393	upregulated set
O43781	DYRK3	DYRK3	27	7984	328	62127	275	50409	0.619900871593295	-0.689890562443803	0.995326673396725	0.9999912556383899	0.0020343572751255756	3.797644599061587e-6	0.9677505306016954	-0.04729290136360207	0.6707052298886906	0.7868807545475557	0.1734683071930537	0.10409107649200383	1.033324155739035	0.04729290136360207	0.6707052298886906	0.7149675694935734	0.1734683071930537	0.145713657093201	downregulated set
