GENE	PROTEIN	ORGANISM	ACC#	MW_(DA)	pI	MODIFICATION SUMMARY
AAK1	AAK1	human	Q2M2I8	103,885	6.16	K-ac, K-m3, K-ub, R-m1, S-gl, S-p, T-gl, T-p, Y-p
ACVR2A	ACVR2A	human	P27037	57,848	5.61	K-ub, N-ng, S-p, T-p, Y-p
ACVR2B	ACVR2B	human	Q13705	57,724	5.46	K-ub, S-p, T-p
AKT1	AKT1	human	P31749	55,686	5.75	K-ac, K-m1, K-m3, K-sm, K-ub, R-m2, R-me, S-gl, S-p, T-gl, T-p, Y-p
AKT2	AKT2	human	P31751	55,769	5.98	K-ac, K-ub, S-p, T-p, Y-p
AKT3	AKT3	human	Q9Y243	55,775	5.72	K-sm, K-ub, S-p, T-p, Y-p
ACVR1	ALK2	human	Q04771	57,153	7.12	K-ub, S-p, T-p
ACVR1B	ALK4	human	P36896	56,807	6.6	K-ub, S-p, T-p, Y-p
ALPK1	ALPHAK3	human	Q96QP1	138,861	5.83	S-p, T-p, Y-p
PRKAA1	AMPKA1	human	Q13131	64,009	8.32	K-ac, K-sc, K-sm, K-ub, S-p, T-p, Y-p
PRKAA2	AMPKA2	human	P54646	62,320	7.65	K-ac, K-sc, K-sm, K-ub, R-m1, S-p, T-p, Y-p
RIPK4	ANKRD3	human	P57078	91,611	6.69	S-p, T-p
MAP3K5	ASK1	human	Q99683	154,537	5.52	K-ac, K-sm, K-ub, R-me, S-p, T-p, Y-p
ATM	ATM	human	Q13315	350,687	6.39	K-ac, K-m1, K-ub, S-p, T-p, Y-p
ATR	ATR	human	Q13535	301,367	7.17	K-ac, K-m1, K-ub, R-m1, S-p, T-p, Y-p
AURKA	AURA	human	O14965	45,823	9.45	K-ac, K-ub, S-p, T-p, Y-p
AURKB	AURB	human	Q96GD4	39,311	9.36	K-sm, K-ub, R-m1, S-p, T-p, Y-p
AURKC	AURC	human	Q9UQB9	35,591	8.96	K-ac, K-ub, S-p, T-p, Y-p
BCKDK	BCKDK	human	O14874	46,360	8.97	K-ac, K-m1, K-sc, K-ub, S-p, T-p, Y-p
BMP2K	BIKE	human	Q9NSY1	129,172	6.05	K-ac, K-ub, S-p, T-p, Y-p
BMPR1A	BMPR1A	human	P36894	60,198	7.71	K-ub, S-p, Y-p
BMPR1B	BMPR1B	human	O00238	56,930	7.78	K-ub, S-p, T-ga, T-p, Y-p
BMPR2	BMPR2	human	Q13873	115,201	5.82	K-ac, K-ub, N-ng, S-p, T-p, Y-p
BRAF	BRAF	human	P15056	84,437	7.29	K-ac, K-ub, S-p, T-p, Y-p
BRSK1	BRSK1	human	Q8TDC3	85,087	9.39	K-ub, R-m1, S-p, T-p, Y-p
BRSK2	BRSK2	human	Q8IWQ3	81,633	8.97	K-ub, R-m1, S-p, T-p, Y-p
BUB1	BUB1	human	O43683	122,375	6.03	K-ac, K-ub, S-p, T-p, Y-p
CAMK1	CAMK1A	human	Q14012	41,337	5.12	K-ub, S-p, T-p, Y-p
PNCK	CAMK1B	human	Q6P2M8	38,500	6.28	K-ub, S-p, T-p, Y-p
CAMK1D	CAMK1D	human	Q8IU85	42,914	6.77	K-ac, K-sm, K-ub, S-p, T-p, Y-p
CAMK1G	CAMK1G	human	Q96NX5	53,087	7.83	K-ac, S-p
CAMK2A	CAMK2A	human	Q9UQM7	54,088	6.61	K-ac, K-m1, K-m3, K-ub, R-m2, S-p, T-gl, T-p, Y-p
CAMK2B	CAMK2B	human	Q13554	72,678	6.87	K-ac, K-m1, K-m2, K-ub, N-ng, S-gl, S-p, T-gl, T-p, Y-p
CAMK2D	CAMK2D	human	Q13557	56,369	6.81	K-ac, K-m1, K-ub, S-p, T-gl, T-p, Y-p
CAMK2G	CAMK2G	human	Q13555	62,607	7.9	K-ac, K-m1, K-ub, S-p, T-p, Y-p
CAMK4	CAMK4	human	Q16566	51,926	5.6	K-ac, K-ub, S-gl, S-p, T-gl, T-p, Y-p
CAMKK1	CAMKK1	human	Q8N5S9	55,735	5.55	D-ca, K-ub, R-m1, R-m2, S-p, T-p, Y-p
CAMKK2	CAMKK2	human	Q96RR4	64,746	6.25	K-ub, S-p, T-p, Y-p
MYLK3	CAMLCK	human	Q32MK0	88,393	5.76	S-p, T-p, Y-p
CDC7	CDC7	human	O00311	63,888	8.96	K-ac, K-sm, K-ub, S-p, T-p, Y-p
CDK1	CDK1	human	P06493	34,095	8.38	K-ac, K-sc, K-sm, K-ub, S-p, T-p, Y-p
CDK10	CDK10	human	Q15131	41,038	9.06	K-ub, T-p, Y-p
CDK12	CDK12	human	Q9NYV4	164,155	9.46	K-ac, K-ub, R-m1, R-m2, S-gl, S-p, T-gl, T-p, Y-p
CDK13	CDK13	human	Q14004	164,923	9.71	D-ca, K-ac, K-sm, K-ub, S-p, T-p, Y-p
CDK14	CDK14	human	O94921	53,057	9.06	K-ub, S-p, T-p, Y-p
CDK16	CDK16	human	Q00536	55,716	7.23	K-ac, K-ub, R-m1, S-p, T-p, Y-p
CDK17	CDK17	human	Q00537	59,582	9.1	K-ac, K-m1, K-ub, S-p, T-p, Y-p
CDK18	CDK18	human	Q07002	54,424	8.84	K-ac, K-ub, R-m1, S-p, T-p, Y-p
